State,Population,Annual Change
California,39345844,-0.02%
Texas,32101064,1.23%
Florida,23659198,0.84%
New York,20003435,0.01%
Pennsylvania,13073016,0.1%
Illinois,12735249,0.13%
Ohio,11940399,0.34%
Georgia,11401288,0.87%
North Carolina,11343875,1.3%
Michigan,10155806,0.28%
New Jersey,9590076,0.44%
Virginia,8940572,0.68%
Washington,8074082,0.91%
Arizona,7691212,0.88%
Tennessee,7378861,0.87%
Massachusetts,7169608,0.22%
Indiana,7011912,0.55%
Missouri,6297538,0.43%
Maryland,6285380,0.32%
Colorado,6036620,0.4%
Wisconsin,5988406,0.26%
Minnesota,5863405,0.57%
South Carolina,5650232,1.44%
Alabama,5223121,0.58%
Kentucky,4629682,0.5%
Louisiana,4621500,0.07%
Oregon,4281848,0.19%
Oklahoma,4148818,0.62%
Connecticut,3702543,0.38%
Utah,3574825,1.01%
Nevada,3310833,0.87%
Iowa,3246320,0.24%
Arkansas,3133502,0.6%
Kansas,2989188,0.4%
Mississippi,2958148,0.14%
New Mexico,2124222,-0.06%
Idaho,2058594,1.42%
Nebraska,2030421,0.61%
West Virginia,1764892,-0.07%
Hawaii,1430688,-0.15%
New Hampshire,1422166,0.48%
Maine,1421310,0.46%
Montana,1151831,0.62%
Rhode Island,1118627,0.37%
Delaware,1069781,0.93%
South Dakota,943078,0.85%
North Dakota,805329,0.75%
Alaska,738003,0.1%
Vermont,642805,-0.29%
Wyoming,590784,0.34%
